Samples	Lat	Lon	Elev	MAT	MAP	Clay	Silt	Sand	pH	SOC	TN	CN	SWC
iSBio759	-0.64548	-90.32783	795	22.37082863	1008.589966	26.1072277	35.60981129	38.28296102	3.9	15.93	0.41	38.85365854	48.83644166
iSBio773	73.170553	-79.894906	85.5	-13.47916222	524.6300049	22.9	45.6	31.3	5.720434077	2.630704	0.172148	15.28164138	31.40722291
iSBio775	73.134633	-79.961057	78.5	-13.43334007	582.8349915	26.2	40.85	32.55	4.764242509	23.069632	0.757098	30.47113055	73.0171383
iSBio782	32.39837	131.172639	1024.5	12.00834084	3964.965088	33	34.3	32.65	3.35	14.91268727	0.586666543	25.41935868	59.29218107
iSBio786	-42.467	-74.117	275.5	9.075006485	2942.52002	10.9	33.6	54.1	3.541733713	47.296333	1.641247	28.81731574	73.43283582
iSBio787	-41.35795	-72.35	122	10.31667519	2435.534912	16.85	30.55	53.25	3.534179678	49.668308	1.46836	33.82570214	82.72418614
iSBio788	-41.35795	-72.35	122	10.31667519	2435.534912	16.85	30.55	53.25	3.534179678	49.668308	1.46836	33.82570214	83.6323764
iSBio790	-41.6712	-72.1411	162	9.854150772	1892.380005	15.6	38.1	46.7	4.523632516	24.322636	1.36734	17.78828675	58.46276384
iSBio791	41.429722	2.081667	255.5	15.73334694	637.0799866	24.01409108	23.85776111	52.12814782	5.5425	8.338	0.252	33.08730159	21.75557325
iSBio793	40.60178056	-8.7404	255.5	15.73334694	637.0799866	0	51.82888129	48.17111871	3.732166062	3.236848	0.316383	10.2307899	22.45347208
iSBio794	40.60083333	-8.740944444	0.5	15.82917213	1024.815002	26.3	28.4	44.9	3.39489596	2.897551	0.338887	8.550198149	45.96720585
iSBio796	40.60083333	-8.740944444	0.5	15.82917213	1024.815002	26.3	28.4	44.9	3.39489596	7.03	0.456	15.41666667	49.71219836
iSBio800	49.03361111	6.514166667	277.25	11.25000954	821.9150085	23.8	69.9	6.3	4.76	5.88	0.33	17.81818182	11.53846154
iSBio802	48.75555556	6.058333333	206.5	11.60000038	754.1849976	18.7	20.7	60.6	6.848695158	4.98443	0.34536	14.43256312	10.334597
iSBio808	49.01305556	6.048333333	176.5	11.73333168	686.3899841	21.1	22.9	56	7.01	2.29	0.17	13.47058824	17.49299951
iSBio809	48.82888889	6.083888889	184.5	11.77918434	690.9150085	18.48151848	17.28271728	64.23576424	7.58	3.2	0.24	13.33333333	5.738928512
iSBio815	60.8932	68.68299	31	0.012490869	548.4599915	22.15	31.15	46.5	2.797940009	40.144115	0.900618	44.57396477	93.0974765
iSBio822	50.59	13.254	759.5	7.116662502	929.2799988	6	21	73	3.086073654	9.904264	0.471263	21.01642607	31.87362527
iSBio824	50.589	13.266	811	6.958337307	931	5	21	74	3.363460532	11.240809	0.532731	21.10034708	41.59763314
NelBot	-41.2824778	173.2571056	115	12.5	1267	49	27	24	3.81	4.2635	0.2525	16.875	10.13
NelMRY	-41.2851917	173.2636194	40	12.5	1267	49	27	24	4.17	5.6845	0.3915	14.525	15.07
NplHrs	-39.0836139	174.0763111	40	13.2	1921	34	48	18	5.43	16.375	1.044	15.69	49.14
NplPer	-39.0424722	174.1118167	9	13.6	1678	34	48	18	5.21	10.44	0.6955	15.015	31.79
TauCaP	-37.6880139	176.1214444	18	14.4	1507	31	49	20	5.01	5.528	0.4185	13.215	27.99
TauMcB	-37.6963222	176.1241278	19	14.4	1507	31	49	20	6.95	6.8675	0.5925	11.63	21.35
WelMtA	-41.3291861	174.7820889	127	12.8	1155	41	39	20	4.84	6.822	0.537	12.705	15.33
WelOCH	-41.3074833	174.7861389	65	12.8	1155	41	39	20	4.26	5.244	0.315	16.66	16.8
WelOWR	-41.3074833	174.7861389	65	12.8	1155	41	39	20	3.47	25.395	1.05	24.175	26.27
