Samples	Lat	Lon	Elev	MAT	MAP	Clay	Silt	Sand	pH	SOC	TN	CN	SWC
iSBio354	44.35583333	142.2580556	304.25	5.741662502	1905.179993	25.4	34.9	39.6	3.68343623	13.484011	0.79855	16.88561893	56.66625016
iSBio356	34.7833333	135.85	239.75	15.25834084	1658.045044	26.5	36.95	37	4.398	4.801	0.344	13.95639535	10.4921849
iSBio359	40.593475	140.9642611	419.5	8.879159927	2332.925049	6.3	37.9	55.5	3.896949248	8.689956	0.456847	19.02158928	42.84861747
iSBio360	40.593475	140.9642611	419.5	8.879159927	2332.925049	6.3	37.9	55.5	3.896949248	8.689956	0.456847	19.02158928	42.75305238
iSBio361	40.5963611	140.9460806	607.5	8.016671896	2561.39502	12.9	35.8	51.5	3.79811284	12.647661	0.711092	17.78625129	54.08829935
iSBio362	40.5963611	140.9460806	607.5	8.016671896	2561.39502	12.9	35.8	51.5	3.79811284	12.647661	0.711092	17.78625129	56.53126245
iSBio363	40.6358333	140.9308333	788	6.608331203	2804.390015	16.95	35.1	48.1	3.931226076	19.41452	1.126556	17.23351524	64.61965135
iSBio364	40.6358333	140.9308333	788	6.608331203	2804.390015	16.95	35.1	48.1	3.931226076	19.41452	1.126556	17.23351524	64.14643852
iSBio367	40.66625	140.8670944	1258.5	3.741662502	3101.075073	26.9	34.3	38.75	2.587670503	35.856667	1.72292	20.81156815	71.20429253
iSBio369	40.6728528	140.874	1383.25	3.754159451	3127.194946	27.55	34.55	38.4	3.312166062	18.140274	1.084872	16.72111917	53.03210464
iSBio370	40.6728528	140.874	1383.25	3.754159451	3127.194946	27.55	34.55	38.4	3.312166062	18.140274	1.084872	16.72111917	66.10969137
iSBio373	34.0833333	135.7666667	363.25	14.20417213	2606.47998	29.6	30.8	39.45	3.285180513	4.854282	0.220819	21.98308117	20.84165003
iSBio376	42.699	141.571	79.25	8.308343887	1785.639954	18.3	36.1	45.6	4.314977126	11.091085	0.803106	13.810238	54.42734359
iSBio378	57.28888889	23.15361111	11	7.929177999	471.4850006	16	25.8	57.85	3.317823081	10	0.9145	10.93493712	1.278232812
iSBio379	57.30222222	23.04888889	6	7.912500143	464.1549988	13.15	24.7	62.1	6.009565488	11	0.8755	12.564249	28.69391825
iSBio380	57.30222222	23.04888889	6	7.912500143	464.1549988	13.15	24.7	62.1	6.009565488	11	0.8755	12.564249	29.98812352
iSBio381	3.2395	101.6369167	104.5	26.96665382	3021.235107	36.5	30.2	33.2	3.295167358	1.120206	0.071535	15.65955127	25.63480511
iSBio390	38.842642	-8.765243	52	16.90831947	474.8000031	1.086375609	11.99564952	86.91797487	4.990666667	1.295914808	0.09475	13.67720114	0.586327345
iSBio394	38.856721	-8.782675	40	16.92499733	474.905014	1.086375609	11.99564952	86.91797487	4.990666667	1.295914808	0.09475	13.67720114	0
iSBio396	38.834092	-8.808716	36.25	16.96250343	476.3549957	1.086375609	11.99564952	86.91797487	4.990666667	1.295914808	0.09475	13.67720114	0.772681954
iSBio398	38.825883	-8.812522	37.75	16.92917824	478.0849915	1.086375609	11.99564952	86.91797487	4.990666667	1.295914808	0.09475	13.67720114	0.637261027
iSBio400	38.813718	-8.80054	45.75	16.91250038	483.2849884	1.086375609	11.99564952	86.91797487	4.990666667	1.295914808	0.09475	13.67720114	0.124984377
iSBio404	38.835344	-8.817801	26	16.97083473	475.8350067	1.086375609	11.99564952	86.91797487	4.990666667	1.295914808	0.09475	13.67720114	0
iSBio405	38.836801	-8.834746	22.75	16.95000648	474.8800049	1.086375609	11.99564952	86.91797487	4.990666667	1.295914808	0.09475	13.67720114	0.124750499
iSBio407	38.827236	-8.840136	25.5	16.95415688	476.6899872	1.086375609	11.99564952	86.91797487	4.990666667	1.295914808	0.09475	13.67720114	0
iSBio410	38.811019	-8.84903	25.75	16.94584084	480.0599976	1.086375609	11.99564952	86.91797487	4.990666667	1.295914808	0.09475	13.67720114	0.124828361
iSBio412	38.818009	-8.855025	24.25	16.93750954	477.9250031	1.086375609	11.99564952	86.91797487	4.990666667	1.295914808	0.09475	13.67720114	0.06237525
iSBio417	18.34405	-65.82599	79	25.79166603	2352.005005	38	25	37	6.74	3.37	0.26	12.96153846	27.59075908
iSBio418	18.34405	-65.82599	79	25.79166603	2352.005005	38	25	37	6.74	3.37	0.26	12.96153846	17.99342105
iSBio420	45.13544	19.64179	415.75	11.44167519	718.3399963	32.95	34.3	32.3	4.033460532	2.418119	0.215121	11.24073893	25.71428571
iSBio422	45.13837	19.64701	454	11.44167519	718.3399963	33.7	34.95	31.5	6.125359755	3.900505	0.342335	11.39382476	27.5862069
iSBio424	45.13699	19.67584	445	11.50415993	725.1350098	33.8	35.25	30.85	4.837386384	2.932219	0.243742	12.03001124	22.08092486
iSBio425	48.2766667	17.3208333	185.5	11.60416603	532.7899933	21.57	52.83	25.6	5.526197354	6.103338	0.467847	13.04558542	12.03946547
iSBio429	48.3055556	17.2866667	177	11.74999428	514.4599915	34.7	42.5	22.8	5.345359755	2.533396	0.210785	12.01886282	6.075
iSBio431	48.3055556	17.2869444	176	11.74999428	514.4599915	33.6	40.6	25.8	6.849450896	3.091554	0.239788	12.8928637	6.501432308
iSBio433	48.8869444	20.1277778	1826.5	0.920846581	1149.709961	17.2	42.1	41.05	4.413333333	12.93333333	0.237	54.57102672	54.68164794
iSBio435	49.21653611	19.67223889	1808.75	1.341653466	1988.415039	20.4	36.4	42.8	3.92	11.65	0.693	16.81096681	49.70731707
iSBio437	48.3033333	17.8886111	190	11.81667519	538.2399902	28.1	54.3	18.4	6.336666667	3.796666667	0.191	19.87783595	10.91962142
iSBio441	48.63444444	19.07027778	480	8.933328629	887.625	10.69333333	56.21666667	33.09	5.609333333	2.466666667	0.179333333	13.75464684	14.60498221
iSBio442	48.63444444	19.07027778	480	8.933328629	887.625	10.69333333	56.21666667	33.09	5.609333333	2.466666667	0.179333333	13.75464684	13.55113636
iSBio449	48.63702778	19.06888889	520	8.933328629	887.625	12.90790604	66.52983728	20.56225668	5.436666667	2.796666667	0.179333333	15.59479554	12.28445205
iSBio450	48.63702778	19.06888889	520	8.933328629	887.625	12.90790604	66.52983728	20.56225668	5.436666667	2.796666667	0.179333333	15.59479554	10.56840903
iSBio451	48.63525	19.06997222	502	8.933328629	887.625	11.01123133	62.44085131	26.54791735	5.324666667	3.05	0.194	15.72164948	14.67345208
iSBio452	48.63525	19.06997222	502	8.933328629	887.625	11.01123133	62.44085131	26.54791735	5.324666667	3.05	0.194	15.72164948	13.84374109
iSBio453	48.55027778	18.85836111	448.25	9.850000381	655.6549988	8.965993432	57.14843595	33.88557062	3.751226076	21.010893	0.934999	22.47156735	29.62132536
iSBio454	48.55027778	18.85836111	448.25	9.850000381	655.6549988	8.965993432	57.14843595	33.88557062	3.751226076	21.010893	0.934999	22.47156735	30.10380623
iSBio456	48.55166667	18.94722222	596.5	8.912500381	780.4750061	9.891593737	67.2474791	22.86092716	5.23525	32.5	1.26	25.79365079	28.44128114
iSBio457	48.50416667	19.18833333	732.5	7.829171896	922.5099792	11.89949988	77.77083586	10.32966426	4.906893708	4.984377	0.344729	14.45882708	18.16245385
iSBio458	48.50416667	19.18833333	732.5	7.829171896	922.5099792	11.89949988	77.77083586	10.32966426	4.906893708	4.984377	0.344729	14.45882708	18.22336475
iSBio461	-33.1652778	22.2680556	752	18.04999733	152.3700027	18.5	13.9	67.6	7.880361283	0.573691	0.083173	6.897562911	0
iSBio465	57.11388889	14.55138889	237.75	7.420815945	686.8849792	9	52	39	2.669331287	26.925	0.815	33.03680982	58.87275412
iSBio466	57.11388889	14.55138889	237.75	7.420815945	686.8849792	9	52	39	2.669331287	26.925	0.815	33.03680982	58.30249198
iSBio467	59.75388889	14.90833333	339	5.541665554	785.0450134	2	65	33	2.078970004	25.215	0.695	36.28057554	65.16826333
iSBio468	59.75388889	14.90833333	339	5.541665554	785.0450134	2	65	33	2.078970004	25.215	0.695	36.28057554	72.84834029
iSBio469	47.27406389	7.886763889	482	10.96248817	939.6749878	10	47	43	3.2325	7.00725	0.425125	16.48279918	36.71388102
iSBio471	47.22515556	7.416652778	1084.25	7.608346701	1191.265015	48	30	22	6.513333333	17.03783333	1.013	16.81918394	42.84864114
iSBio472	47.22515556	7.416652778	1084.25	7.608346701	1191.265015	48	30	22	6.513333333	17.03783333	1.013	16.81918394	48.27244407
iSBio473	46.30278889	7.612108333	616	11.05001259	778.0249939	9	42	49	5.486666667	20.63525	0.7895	26.1371121	25.6020529
iSBio474	46.30278889	7.612108333	616	11.05001259	778.0249939	9	42	49	5.486666667	20.63525	0.7895	26.1371121	15.18608299
iSBio475	46.02261111	8.834161111	925	11.17916298	1793.719971	12	19	69	3.56	9.767833333	0.621333333	15.7207618	37.68465909
iSBio477	46.70034444	7.762336111	1448.5	5.579171658	1534.559998	27.4	32.8	39.9	3.38125	49.27975	1.760125	27.99786947	76.27657461
iSBio479	47.16504722	9.067072222	775	7.604181051	1768.945007	22	35	43	4.966666667	4.5435	0.3065	14.82381729	27.58669699
iSBio481	47.36194444	8.454444444	550	10.86666298	1010.794983	31.5	35.2	33.6	4.066666667	3.877333333	0.285166667	13.59672706	25.18413598
iSBio482	47.36194444	8.454444444	550	10.86666298	1010.794983	31.5	35.2	33.6	4.066666667	3.877333333	0.285166667	13.59672706	22.91754757
iSBio483	46.31866667	7.584333333	836.25	9.258340836	908.6700134	21	38.6	40.15	7.250346876	18.369064	0.774941	23.70382261	23.35814723
iSBio484	46.31866667	7.584333333	836.25	9.258340836	908.6700134	21	38.6	40.15	7.250346876	18.369064	0.774941	23.70382261	19.56583028
iSBio490	44.3666667	-122.3666667	491.5	8.695825577	1131.184967	24.65	39.5	35.85	5.209025742	3.288354	0.223033	14.74380024	19.38688618
iSBio491	44.5069444	-72.8355556	601.5	5.599999905	1595.35498	10.6	38	50.6	3.300003372	14.949074	0.942104	15.86775345	37.90656416
iSBio500	44.04	-71.275	493.75	5.541665554	1552.284973	8.8	30.8	60.3	3.723589623	17.718975	0.870201	20.36193362	49.69557347
iSBio504	43.937	-71.739	512.75	6.041680813	1605.775024	9.9	39.25	51.05	3.427570176	23.221806	1.285674	18.06197061	68.10416321
iSBio506	44.036	-71.89	744.25	4.879159451	1524.375	7.25	37.5	55.1	3.871300933	10.558717	0.831359	12.70055054	51.86287009
iSBio508	43.9356	-71.7009	393	6.900002956	1381.76001	6.1	38.65	55.25	2.938970004	36.353203	1.757812	20.68093914	68.55429714
iSBio510	43.9464	-71.7593	447	5.541665554	1649.23999	4	11	85	3.8	6.4	0.14	45.71428571	55.41254125
iSBio518	51.05725	82.98725	1422.5	-2.641683996	1774.609985	19.35	35.75	45.25	3.959946682	4.489128	0.433904	10.3459014	28.86409061
iSBio522	51.0514444	82.9754444	1473.75	-2.716665685	1772.26001	21.1	34.1	45.2	4.35	2.4	0.536	4.47761194	21.9397229
iSBio532	51.1145278	83.0158611	973.25	0.229165673	1339.859985	28.3	38.4	33.3	4.855	6.175	0.571	10.81436077	27.89973092
iSBio562	63.876	-149.247	680.75	-1.658331275	917.5350037	12.4	50.5	37.2	2.603120521	40.511986	1.306008	31.01970738	81.38441817
iSBio564	64.882	-148.391	215.25	-0.758337393	611.6699829	13.55	69.45	17.1	4.8675	17.66	0.8975	19.67688022	88.78878879
iSBio567	-38.45724	145.2893	3.5	15.27916908	830.7349854	11.8	19.55	68.9	3.925609445	4.503774	0.350986	12.83177677	39.33454126
iSBio568	-38.45724	145.2893	3.5	15.27916908	830.7349854	11.8	19.55	68.9	3.925609445	4.503774	0.350986	12.83177677	62.09573092
iSBio569	-38.45945	145.2882	3.5	15.24582863	844.625	11.8	19.65	68.9	5.446904851	22.853489	1.481344	15.42753675	75.94684385
iSBio572	50.0826417	87.7816778	2172.5	-6.287512302	357.7100067	35	20	45	3.395	18.75	0.72	26.04166667	44.22750424
iSBio574	57.2004417	84.3165333	68.75	0.71666871	643.1800232	36.84210526	57.89473684	5.263157895	4.95	23.925	1.325	18.05660377	21.21557997
iSBio575	40.7574361	16.9133833	351	15.78750038	536.914978	30	20	50	6.125	16.76	0.655	25.58778626	9.034267913
iSBio579	40.77938889	-3.983822222	2107	6.966653347	1151.419983	7.005	19.8	73.195	3.725	21.542051	1.0610765	20.30207153	5.091409475
iSBio581	40.78750278	-3.975436111	2182.5	5.645837307	1182.969971	8.005	18.3	73.695	4.415	10.348189	0.731462	14.14726807	1.485148515
iSBio584	40.79416667	-3.960111111	2197.75	5.775002956	1221.024994	10.005	23.8	66.195	4.185	3.804601	0.47767	7.964915109	1.267238166
iSBio586	40.834225	-3.966002778	2225.5	5.62084341	1153.890015	8.005	19.8	72.195	4.04	8.864758	0.6228975	14.23148752	1.227830832
iSBio588	57.08462	-3.836667	833	4.708337307	1156.570007	3.66	21.2	75.14	4.13	4.168027	0.22055	18.89833144	12.2749357
iSBio590	57.09768	-3.860733	692	5.708337307	974.25	3.66	26.2	70.14	3.59	11.625999	0.383948	30.2801395	31.68498168
iSBio592	57.07973	-3.808867	993.5	3.783334255	1290.680054	3.66	18.2	78.14	3.96	3.207415	0.19141	16.75677864	14.60208601
iSBio594	57.07553	-3.82025	917.5	4.366662502	1258.23999	5.66	19.2	75.14	3.57	5.028494	0.193506	25.98624332	23.55295126
iSBio596	47.58536667	24.63575	2130.75	-0.120825201	1824.919983	22.5	40.5	36.8	3.63721923	9.730463	0.647179	15.03519583	38.13714096
iSBio598	47.58236667	24.63228333	2079.5	0.204156507	1823.464966	22.25	40.45	37.2	3.533679697	19.290184	1.385111	13.92681453	48.16727757
iSBio600	47.57218333	24.61755	1967	1.166665673	1794.034973	21.1	40.7	38.65	3.080703717	28.690678	1.983278	14.46629166	66.02804661
iSBio601	61.9	9.14	1090	0.379159558	671.3900146	7.36	41.2	51.44	4	4.038448	0.196318	20.57095121	24.27536232
iSBio602	61.91	9.18	1090	0.379159558	671.3900146	5.36	31.2	63.44	4.28	1.367732	0.075786	18.04729106	24.6921797
iSBio605	61.9	9.22	1359	-1.304174781	800.5400085	5.36	39.2	55.44	3.79	3.400331	0.209887	16.20076994	19.11282271
iSBio607	61.91	9.25	1457.5	-1.299993873	870.6699829	1.36	45.2	53.44	4.41	0.729499	0.05877	12.41277863	12.21969912
iSBio610	-51.916	-70.407	164	6.999993801	288.0250092	24	11	65	5.910361283	2.677296	0.212613	12.59234384	2.861869313
iSBio612	45.69	7.5639	2458.75	-1.258337379	1391.449951	20.2	43	37	6.1	11.71	0.622	18.82636656	19.58041958
iSBio614	45.64	7.55	2617.25	-1.379186988	1541.655029	10.95	41.85	46.3	6.1	11.52	0.5605	20.55307761	44.25411608
iSBio618	45.91	7.69	2951.75	-3.212500095	1629.294983	14.2	43.7	42.65	6.3	10.26	0.524	19.58015267	15.98406573
iSBio619	42.1027778	14.1216667	2666	0.058328241	1441.97998	19.55	39.9	40.5	7.409449818	9.469997	0.291851	32.44805397	17.90368272
iSBio625	46.03055556	7.249444444	2294	0.500009168	1578.674988	2.597402597	64.63536464	32.76723277	4.3	2.9	0.216	13.42592593	19.11822855
iSBio627	46.02055556	7.201388889	2443.75	-0.562506091	1521.049988	7.35	69.55	23.1	4	4.3	0.167	25.74850299	21.51724138
iSBio629	44.275	10.246	1743	5.80834341	983.8149719	7.393333333	39.53333333	53.07333333	4.086666667	7.257509667	0.559152333	12.97948561	21.41192141
iSBio630	44.275	10.246	1743	5.80834341	983.8149719	7.393333333	39.53333333	53.07333333	4.086666667	7.257509667	0.559152333	12.97948561	20.89229233
iSBio631	44.331	10.207	1843.5	5.320840359	988.8300171	11.06	37.2	51.74	4.106666667	8.874287	0.726019333	12.22321031	29.09665613
iSBio633	44.204	10.699	1767.75	5.462502956	723.7749939	9.726666667	41.36666667	48.90666667	4.056666667	8.262787333	0.647195333	12.76706878	36.32367632
iSBio634	44.204	10.699	1767.75	5.462502956	723.7749939	9.726666667	41.36666667	48.90666667	4.056666667	8.262787333	0.647195333	12.76706878	37.71245751
iSBio636	44.119	10.618	1690.25	5.458337307	754.375	10.39333333	49.7	39.90666667	4.06	8.565768333	0.634958333	13.49028414	35.54048664
iSBio645	42.637	-0.062	2163	3.941659451	1437.775024	23.49939976	41.98679472	34.51380552	5.490299957	4.868742	0.453175	10.74362443	10.62476618
iSBio647	42.65	0.032	2424.75	2.354165554	1713.335022	18.56556967	36.34090227	45.09352806	5.743175072	6.013884	0.505144	11.90528641	34.97649238
iSBio648	42.65	0.032	2424.75	2.354165554	1713.335022	18.56556967	36.34090227	45.09352806	5.743175072	6.013884	0.505144	11.90528641	32.23918938
iSBio652	42.662	0.054	2927.5	-1.249990821	1867.549988	25.35253525	27.93279328	46.71467147	7.692111488	3.272971	0.066123	49.49822301	11.80717539
iSBio655	51.14574	3.120754	16	11.60000038	662.1150208	27.45	40.8	32.05	4.621733713	2.205188	0.162227	13.59322431	16.98459799
iSBio658	49.98633	4.980931	397	9.683343887	912.9250183	23.6	56.2	20	3.326511672	17.686024	0.961062	18.40258381	29.97032641
iSBio660	59.81916667	17.64333333	26.5	7.045831203	543.5550079	36.4	29.1	34.3	5.649025742	1.913185	0.188648	10.14155994	15.06478713
